net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 32013 K-images (500 Kilo-batches_64) 
Enter Image Path: data/obj/img/frame0.png: Predicted in 89.589000 milli-seconds.
Enter Image Path: data/obj/img/frame1.png: Predicted in 89.972000 milli-seconds.
Enter Image Path: data/obj/img/frame10.png: Predicted in 86.638000 milli-seconds.
Enter Image Path: data/obj/img/frame100.png: Predicted in 80.572000 milli-seconds.
Enter Image Path: data/obj/img/frame101.png: Predicted in 72.047000 milli-seconds.
Enter Image Path: data/obj/img/frame102.png: Predicted in 71.910000 milli-seconds.
Enter Image Path: data/obj/img/frame103.png: Predicted in 72.364000 milli-seconds.
Enter Image Path: data/obj/img/frame104.png: Predicted in 68.295000 milli-seconds.
Enter Image Path: data/obj/img/frame105.png: Predicted in 65.603000 milli-seconds.
Enter Image Path: data/obj/img/frame106.png: Predicted in 64.775000 milli-seconds.
Enter Image Path: data/obj/img/frame107.png: Predicted in 62.063000 milli-seconds.
Enter Image Path: data/obj/img/frame108.png: Predicted in 62.283000 milli-seconds.
Enter Image Path: data/obj/img/frame109.png: Predicted in 61.825000 milli-seconds.
Enter Image Path: data/obj/img/frame11.png: Predicted in 62.496000 milli-seconds.
Enter Image Path: data/obj/img/frame110.png: Predicted in 62.902000 milli-seconds.
Enter Image Path: data/obj/img/frame111.png: Predicted in 63.021000 milli-seconds.
Enter Image Path: data/obj/img/frame112.png: Predicted in 62.745000 milli-seconds.
Enter Image Path: data/obj/img/frame113.png: Predicted in 62.770000 milli-seconds.
Enter Image Path: data/obj/img/frame114.png: Predicted in 62.922000 milli-seconds.
Enter Image Path: data/obj/img/frame115.png: Predicted in 62.671000 milli-seconds.
Enter Image Path: data/obj/img/frame116.png: Predicted in 62.080000 milli-seconds.
Enter Image Path: data/obj/img/frame117.png: Predicted in 62.189000 milli-seconds.
Enter Image Path: data/obj/img/frame118.png: Predicted in 62.004000 milli-seconds.
Enter Image Path: data/obj/img/frame119.png: Predicted in 61.847000 milli-seconds.
Enter Image Path: data/obj/img/frame12.png: Predicted in 61.687000 milli-seconds.
